primaryTitle,startYear,runtimeMinutes
Kissing Jessica Stein,2001.0,97.0
Life as a House,2001.0,125.0
America's Sweethearts,2001.0,102.0
Black Hawk Down,2001.0,144.0
Black Knight,2001.0,95.0
Elvira's Haunted Hills,2001.0,90.0
The Man from Elysian Fields,2001.0,106.0
Monsoon Wedding,2001.0,114.0
Recess: School's Out,2001.0,82.0
The Royal Tenenbaums,2001.0,110.0
"Scotland, Pa.",2001.0,104.0
The Last Kiss,2001.0,115.0
The Cat's Meow,2001.0,114.0
Rush Hour 2,2001.0,90.0
Spy Game,2001.0,126.0
Yamakasi,2001.0,90.0
Avalon,2001.0,107.0
The One,2001.0,87.0
Jimmy Neutron: Boy Genius,2001.0,82.0
The Man Who Sued God,2001.0,97.0
13 Conversations About One Thing,2001.0,104.0
A Beautiful Mind,2001.0,135.0
The Majestic,2001.0,152.0
Two Can Play That Game,2001.0,90.0
What Time Is It There?,2001.0,116.0
Vizontele,2001.0,110.0
Kiss of the Dragon,2001.0,98.0
The Accidental Spy,2001.0,108.0
The Last Castle,2001.0,131.0
K-PAX,2001.0,120.0
Max Keeble's Big Move,2001.0,86.0
Read My Lips,2001.0,115.0
Tanguy,2001.0,108.0
The Ignorant Fairies,2001.0,106.0
Wendigo,2001.0,91.0
The Warrior,2001.0,158.0
Cowboy Bebop: The Movie,2001.0,115.0
Dogtown and Z-Boys,2001.0,91.0
Tape,2001.0,86.0
Beijing Bicycle,2001.0,113.0
I Am Sam,2001.0,132.0
As Far as My Feet Will Carry Me,2001.0,158.0
Not Another Teen Movie,2001.0,89.0
Ajnabee,2001.0,165.0
How High,2001.0,93.0
Stanley Kubrick: A Life in Pictures,2001.0,142.0
Elling,2001.0,89.0
Time Out,2001.0,134.0
"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack",2001.0,105.0
Miss Minoes,2001.0,86.0
Dudes,2001.0,90.0
Joe Somebody,2001.0,98.0
Gosford Park,2001.0,137.0
Iris,2001.0,91.0
Wasabi,2001.0,94.0
Friend,2001.0,113.0
Mike Bassett: England Manager,2001.0,89.0
Millennium Mambo,2001.0,119.0
Kandahar,2001.0,85.0
No Man's Land,2001.0,98.0
The Parole Officer,2001.0,93.0
Gadar: Ek Prem Katha,2001.0,170.0
No News from God,2001.0,112.0
Atanarjuat: The Fast Runner,2001.0,172.0
Monster's Ball,2001.0,111.0
Shaolin Soccer,2001.0,113.0
Fulltime Killer,2001.0,102.0
Pulse,2001.0,119.0
Pokemon 4Ever: Celebi - Voice of the Forest,2001.0,75.0
Fate,2001.0,119.0
Failan,2001.0,115.0
Visitor Q,2001.0,84.0
