primaryTitle,startYear,runtimeMinutes,averageRating,numVotes,directors,Production Budget,Worldwide Gross
Lara Croft: Tomb Raider,2001,100,5.8,217663,Simon West,94000000,273330185
Behind Enemy Lines,2001,106,6.4,112019,John Moore,40000000,58855732
What's the Worst That Could Happen?,2001,94,5.4,16755,Sam Weisman,30000000,38462071
Ghost World,2001,111,7.3,125956,Terry Zwigoff,5500000,8761608
Jurassic Park III,2001,92,5.9,338434,Joe Johnston,93000000,365900000
Along Came a Spider,2001,104,6.4,95145,Lee Tamahori,28000000,105159085
Bones,2001,96,4.4,8132,Ernest R. Dickerson,10000000,8378853
Monkeybone,2001,93,4.8,19081,Henry Selick,75000000,5409517
Mulholland Drive,2001,147,7.9,379839,David Lynch,15000000,20780568
Final Fantasy: The Spirits Within,2001,106,6.4,83815,"Hironobu Sakaguchi, Motonori Sakakibara",137000000,85131830
15 Minutes,2001,120,6.1,51766,John Herzfeld,42000000,56331864
Hardball,2001,106,6.4,33181,Brian Robbins,21000000,43728560
Osmosis Jones,2001,95,6.3,38418,"Bobby Farrelly, Peter Farrelly",70000000,13596911
The Caveman's Valentine,2001,105,5.8,8092,Kasi Lemmons,13500000,892506
Just Visiting,2001,88,5.7,20072,Jean-Marie Poiré,40000000,16172200
Get Over It,2001,87,5.7,19900,Tommy O'Haver,10000000,19860259
Head Over Heels,2001,86,5.4,15205,Mark Waters,14000000,10397365
Texas Rangers,2001,90,5.2,6283,Steve Miner,38000000,623374
Zoolander,2001,90,6.5,289195,Ben Stiller,28000000,60780981
"Monsters, Inc.",2001,92,8.1,967852,"Pete Docter, David Silverman, Lee Unkrich",115000000,560483719
Riding in Cars with Boys,2001,132,6.5,30393,Penny Marshall,47000000,29781453
Rock Star,2001,105,6.3,45058,Stephen Herek,38000000,19317765
Save the Last Dance,2001,112,6.2,65558,Thomas Carter,13000000,122244329
Joy Ride,2001,97,6.6,75226,John Dahl,23000000,22204890
The Mummy Returns,2001,130,6.4,343237,Stephen Sommers,98000000,435040395
The Wedding Planner,2001,103,5.3,85849,Adam Shankman,28000000,94728529
Hannibal,2001,131,6.8,290545,Ridley Scott,87000000,350100280
Pearl Harbor,2001,183,6.2,349338,Michael Bay,151500000,449239853
Enemy at the Gates,2001,131,7.5,275656,Jean-Jacques Annaud,85000000,96971293
Soul Survivors,2001,84,3.9,9561,Stephen Carpenter,14000000,4288246
Antitrust,2001,108,6.1,30186,Peter Howitt,30000000,17865209
Original Sin,2001,116,6,59388,Michael Cristofer,26000000,16521410
Bandits,2001,123,6.5,70578,Barry Levinson,75000000,71523271
Blow,2001,124,7.5,273213,Ted Demme,30000000,83282296
The Glass House,2001,106,5.8,39584,Daniel Sackheim,22000000,22861785
Angel Eyes,2001,102,5.7,25565,Luis Mandoki,38000000,29544532
Made,2001,95,6.3,19261,Jon Favreau,5000000,5476060
The Score,2001,124,6.8,133345,Frank Oz,68000000,113542091
Spy Kids,2001,88,5.6,126199,Robert Rodriguez,35000000,197692062
Atlantis: The Lost Empire,2001,95,6.9,132301,"Gary Trousdale, Kirk Wise",90000000,186049020
The Others,2001,101,7.6,389851,Alejandro Amenábar,17000000,207788211
Sweet November,2001,119,6.7,94153,Pat O'Connor,40000000,65754228
Crocodile Dundee in Los Angeles,2001,95,4.8,26073,Simon Wincer,25000000,39393111
Down to Earth,2001,87,5.4,24695,"Chris Weitz, Paul Weitz",30000000,71172251
The Fast and the Furious,2001,106,6.8,415426,Rob Cohen,38000000,206458372
3000 Miles to Graceland,2001,125,6,48468,Demian Lichtenstein,62000000,18708848
Novocaine,2001,95,5.8,11657,David Atkins,6000000,2522928
Summer Catch,2001,104,5.1,16585,Michael Tollin,17000000,19693891
Josie and the Pussycats,2001,98,5.6,24690,"Harry Elfont, Deborah Kaplan",22000000,14307223
The Mexican,2001,123,6.1,112456,Gore Verbinski,40000000,145238250
The Tailor of Panama,2001,109,6.1,30892,John Boorman,18000000,27491653
The Pledge,2001,124,6.8,66327,Sean Penn,45000000,29406132
Captain Corelli's Mandolin,2001,131,5.9,35770,John Madden,57000000,62097495
Double Take,2001,88,5.4,8720,George Gallo,24000000,29823162
Cats & Dogs,2001,87,5.1,62200,Lawrence Guterman,60000000,200700000
Saving Silverman,2001,90,5.8,42416,Dennis Dugan,22000000,25873142
Say It Isn't So,2001,95,5,13729,J.B. Rogers,25000000,5516708
Sidewalks of New York,2001,108,6.4,6891,Edward Burns,1000000,3575308
Dr. Dolittle 2,2001,87,4.7,47099,Steve Carr,72000000,176101721
Freddy Got Fingered,2001,87,4.6,50824,Tom Green,15000000,14249005
Ocean's Eleven,2001,116,7.7,611833,Steven Soderbergh,85000000,450728529
Serendipity,2001,90,6.8,120457,Peter Chelsom,28000000,77477297
Bully,2001,108,6.9,40262,Larry Clark,2100000,1381824
Exit Wounds,2001,101,5.6,36720,Andrzej Bartkowiak,33000000,79958599
L.I.E.,2001,97,7.1,10396,Michael Cuesta,700000,1140965
Valentine,2001,96,4.9,29910,Jamie Blanks,10000000,20384136
Bridget Jones's Diary,2001,97,6.8,261008,Sharon Maguire,25000000,272595053
American Outlaws,2001,94,5.9,17348,Les Mayfield,35000000,13601109
Swordfish,2001,99,6.5,195244,Dominic Sena,80000000,147080413
Someone Like You,2001,97,6,27316,Tony Goldwyn,23000000,38684906
The Forsaken,2001,90,5.3,9117,J.S. Cardone,5000000,6755271
Joe Dirt,2001,91,6,60587,Dennie Gordon,16000000,30987695
The Musketeer,2001,104,4.7,15003,Peter Hyams,40000000,27053815
Donnie Darko,2001,113,8,842569,Richard Kelly,4500000,7510154
Tomcats,2001,95,5.3,19397,Gregory Poirier,11000000,13558739
In the Bedroom,2001,131,7.4,42178,Todd Field,1700000,42137871
The Princess Diaries,2001,115,6.4,161315,Garry Marshall,30000000,165334774
Ali,2001,157,6.7,104922,Michael Mann,109000000,87683966
Hedwig and the Angry Inch,2001,95,7.7,37158,John Cameron Mitchell,6000000,3735131
Domestic Disturbance,2001,89,5.6,28586,Harold Becker,53000000,54207112
The Brothers,2001,106,6.3,5027,Gary Hardwick,6000000,27958191
Corky Romano,2001,86,4.7,13676,Rob Pritts,11000000,25116103
The Deep End,2001,101,6.5,11955,"Scott McGehee, David Siegel",3000000,9981635
The Other Side of Heaven,2001,113,6.3,4684,Mitch Davis,7000000,4720371
Legally Blonde,2001,96,6.5,243436,Robert Luketic,18000000,141809235
Rat Race,2001,112,6.5,122253,Jerry Zucker,48000000,86607223
See Spot Run,2001,94,5.4,9686,John Whitesell,16000000,43057552
Evolution,2001,101,6.1,135325,Ivan Reitman,80000000,98341932
Hearts in Atlantis,2001,101,6.9,40863,Scott Hicks,31000000,30885781
Heist,2001,109,6.5,38850,David Mamet,35000000,28906817
American Pie 2,2001,108,6.4,268389,J.B. Rogers,30000000,286500000
Out Cold,2001,89,6.2,18367,"Emmett Malloy, Brendan Malloy",11000000,14786394
The Animal,2001,84,4.8,63098,Luke Greenfield,22000000,55762229
Baby Boy,2001,130,6.4,16311,John Singleton,16000000,28734552
Shallow Hal,2001,114,6,143211,"Bobby Farrelly, Peter Farrelly",40000000,70836296
The Curse of the Jade Scorpion,2001,103,6.7,42181,Woody Allen,26000000,18496522
Scary Movie 2,2001,83,5.3,173547,Keenen Ivory Wayans,45000000,141189101
Pootie Tang,2001,81,5.3,14986,Louis C.K.,3500000,3293258
Bubble Boy,2001,84,5.7,35023,Blair Hayes,13000000,5002310
Vanilla Sky,2001,136,6.9,283575,Cameron Crowe,70000000,202726605
Jay and Silent Bob Strike Back,2001,104,6.8,160249,Kevin Smith,22000000,33762400
Session 9,2001,100,6.4,62396,Brad Anderson,1500000,1703434
Jeepers Creepers,2001,90,6.2,140933,Victor Salva,10000000,58939035
Life as a House,2001,125,7.4,45426,Irwin Winkler,18000000,23889158
America's Sweethearts,2001,102,5.7,59915,Joe Roth,46000000,160648493
Black Hawk Down,2001,144,7.7,419953,Ridley Scott,95000000,159691085
Black Knight,2001,95,4.9,42960,Gil Junger,35000000,33422806
Recess: School's Out,2001,82,6.5,11555,Chuck Sheetz,10000000,44451470
The Royal Tenenbaums,2001,110,7.6,310979,Wes Anderson,28000000,71430876
Rush Hour 2,2001,90,6.7,236660,Brett Ratner,90000000,347425832
Spy Game,2001,126,7.1,165913,Tony Scott,90000000,143049560
The One,2001,87,5.9,95558,James Wong,49000000,72689126
Jimmy Neutron: Boy Genius,2001,82,6.1,37630,John A. Davis,25000000,102992536
A Beautiful Mind,2001,135,8.2,978092,Ron Howard,78000000,317668058
The Majestic,2001,152,6.9,57241,Frank Darabont,72000000,37306334
Two Can Play That Game,2001,90,6.1,7303,Mark Brown,13000000,22391450
