primaryTitle,startYear,runtimeMinutes,averageRating,numVotes,directors,ProductionBudget,WorldwideGross
The Brothers,2001,106,6.3,4884,Gary Hardwick,6000000,27958191
Corky Romano,2001,86,4.7,13446,Rob Pritts,11000000,25116103
The Deep End,2001,101,6.5,11787,"Scott McGehee, David Siegel",3000000,9981635
The Other Side of Heaven,2001,113,6.3,4550,Mitch Davis,7000000,4720371
Legally Blonde,2001,96,6.4,226776,Robert Luketic,18000000,141809235
Rat Race,2001,112,6.4,118898,Jerry Zucker,48000000,86607223
See Spot Run,2001,94,5.3,9480,John Whitesell,16000000,43057552
Evolution,2001,101,6.1,131676,Ivan Reitman,80000000,98341932
Hearts in Atlantis,2001,101,6.9,39743,Scott Hicks,31000000,30885781
Heist,2001,109,6.5,37959,David Mamet,35000000,28906817
American Pie 2,2001,108,6.4,261015,J.B. Rogers,30000000,286500000
Out Cold,2001,89,6.2,17969,"Brendan Malloy, Emmett Malloy",11000000,14786394
The Animal,2001,84,4.8,61442,Luke Greenfield,22000000,55762229
Baby Boy,2001,130,6.4,15514,John Singleton,16000000,28734552
Shallow Hal,2001,114,6,137085,"Bobby Farrelly, Peter Farrelly",40000000,70836296
The Curse of the Jade Scorpion,2001,103,6.7,41354,Woody Allen,26000000,18496522
Scary Movie 2,2001,83,5.3,166292,Keenen Ivory Wayans,45000000,141189101
Pootie Tang,2001,81,5.2,14644,Louis C.K.,3500000,3293258
Bubble Boy,2001,84,5.7,34054,Blair Hayes,13000000,5002310
Vanilla Sky,2001,136,6.9,274111,Cameron Crowe,70000000,202726605
Jay and Silent Bob Strike Back,2001,104,6.8,157399,Kevin Smith,22000000,33762400
Session 9,2001,100,6.4,60373,Brad Anderson,1500000,1703434
Jeepers Creepers,2001,90,6.2,133771,Victor Salva,10000000,58939035
Life as a House,2001,125,7.5,44675,Irwin Winkler,18000000,23889158
America's Sweethearts,2001,102,5.7,58822,Joe Roth,46000000,160648493
Black Hawk Down,2001,144,7.7,404219,Ridley Scott,95000000,159691085
