tconst,primaryTitle,startYear,runtimeMinutes,averageRating,numVotes,directors,writers,Production Budget,Worldwide Gross
tt0119925,The Postman,1997,177,6.1,75602,Kevin Costner,"David Brin, Eric Roth, Brian Helgeland",80000000,20841123
tt0119937,Prefontaine,1997,106,6.8,7458,Steve James,"Steve James, Eugene Corr",8000000,590817
tt0119978,The Rainmaker,1997,135,7.2,78592,Francis Ford Coppola,"John Grisham, Francis Ford Coppola, Michael Herr",40000000,45916769
tt0120004,The Relic,1997,110,5.8,28827,Peter Hyams,"Douglas Preston, Lincoln Child, Amy Holden Jones, John Raffo, Rick Jaffa, Amanda Silver",60000000,33956608
tt0120053,The Saint,1997,116,6.2,70197,Phillip Noyce,"Leslie Charteris, Jonathan Hensleigh, Wesley Strick",90000000,169400000
tt0120082,Scream 2,1997,120,6.3,193805,Wes Craven,Kevin Williamson,24000000,172363301
tt0120094,Selena,1997,127,6.8,29945,Gregory Nava,Gregory Nava,20000000,35782828
tt0120102,Seven Years in Tibet,1997,136,7.1,148404,Jean-Jacques Annaud,"Heinrich Harrer, Becky Johnston",70000000,131445884
tt0120107,Shadow Conspiracy,1997,103,4.9,5047,George P. Cosmatos,"Adi Hasak, Ric Gibbs",45000000,2154540
tt0120133,A Simple Wish,1997,89,5.3,5683,Michael Ritchie,Jeff Rothberg,28000000,8165213
tt0120152,Smilla's Sense of Snow,1997,121,6.3,14748,Bille August,"Peter Høeg, Ann Biderman",35000000,2221994
tt0120169,Soul Food,1997,115,7,8544,George Tillman Jr.,George Tillman Jr.,7500000,43492389
tt0120177,Spawn,1997,96,5.2,69895,Mark A.Z. Dippé,"Todd McFarlane, Alan B. McElroy, Mark A.Z. Dippé",40000000,87949859
tt0120179,Speed 2: Cruise Control,1997,121,3.9,83029,Jan de Bont,"Graham Yost, Jan de Bont, Randall McCormick, Jeff Nathanson",110000000,150468000
tt0120201,Starship Troopers,1997,129,7.3,302595,Paul Verhoeven,"Edward Neumeier, Robert A. Heinlein",105000000,121100000
tt0120207,Steel,1997,97,2.9,14367,Kenneth Johnson,"Louise Simonson, Jon Bogdanove, Kenneth Johnson",16000000,1686429
tt0120255,The Sweet Hereafter,1997,112,7.5,35834,Atom Egoyan,"Russell Banks, Atom Egoyan",5000000,7951247
tt0120338,Titanic,1997,194,7.9,1210890,James Cameron,James Cameron,200000000,2222985568
tt0120347,Tomorrow Never Dies,1997,119,6.5,198377,Roger Spottiswoode,"Bruce Feirstein, Ian Fleming",110000000,339504276
tt0120390,Turbulence,1997,100,4.9,12202,Robert Butler,Jonathan Brett,55000000,11532774
tt0120402,Ulee's Gold,1997,113,7,7343,Victor Nunez,Victor Nunez,2700000,15600000
tt0120461,Volcano,1997,104,5.5,78580,Mick Jackson,"Jerome Armstrong, Billy Ray",90000000,120100000
tt0120483,The Man Who Knew Too Little,1997,94,6.6,33274,Jon Amiel,"Robert Farrar, Howard Franklin",20000000,13801755
tt0120885,Wag the Dog,1997,97,7.1,85838,Barry Levinson,"Larry Beinhart, Hilary Henkin, David Mamet",15000000,64252038
tt0118301,Dead Man on Campus,1998,96,6,16035,Alan Cohn,"Anthony Abrams, Adam Larson Broder, Michael Traeger, Mike White",14000000,15064948
tt0118661,The Avengers,1998,89,3.8,44440,Jeremiah S. Chechik,"Sydney Newman, Don MacPherson",60000000,48585416
tt0118715,The Big Lebowski,1998,117,8.1,821311,"Joel Coen, Ethan Coen","Ethan Coen, Joel Coen",15000000,46189568
tt0118736,Six-String Samurai,1998,91,6.4,7689,Lance Mungia,"Jeffrey Falcon, Lance Mungia",2000000,134624
tt0118789,Buffalo '66,1998,110,7.4,56190,Vincent Gallo,"Vincent Gallo, Alison Bagnall",1500000,2381227
tt0118798,Bulworth,1998,108,6.8,26646,Warren Beatty,"Warren Beatty, Jeremy Pikser",30000000,29203383
tt0118863,Clay Pigeons,1998,104,6.6,11775,David Dobkin,Matthew L. Healy,8000000,2256606
tt0118929,Dark City,1998,100,7.6,203826,Alex Proyas,"Alex Proyas, Lem Dobbs, David S. Goyer",27000000,27257061
tt0118956,Deep Rising,1998,106,6.1,38555,Stephen Sommers,Stephen Sommers,45000000,11203026
